date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price
4/1/2000,ARG,ARS,Argentina,2.5,1,2.5
4/1/2000,AUS,AUD,Australia,2.59,1.68,1.541666667
4/1/2000,BRA,BRL,Brazil,2.95,1.79,1.648044693
4/1/2000,CAN,CAD,Canada,2.85,1.47,1.93877551
4/1/2000,CHE,CHF,Switzerland,5.9,1.7,3.470588235
4/1/2000,CHL,CLP,Chile,1260,514,2.451361868
4/1/2000,CHN,CNY,China,9.9,8.28,1.195652174
4/1/2000,CZE,CZK,Czech Republic,54.37,39.1,1.390537084
4/1/2000,DNK,DKK,Denmark,24.75,8.04,3.078358209
4/1/2000,EUZ,EUR,Euro area,2.56,1.075268817,2.3808
4/1/2000,GBR,GBP,Britain,1.9,0.632911392,3.002000002
4/1/2000,HKG,HKD,Hong Kong,10.2,7.79,1.309370988
4/1/2000,HUN,HUF,Hungary,339,279,1.215053763
4/1/2000,IDN,IDR,Indonesia,14500,7945,1.825047199
4/1/2000,ISR,ILS,Israel,14.5,4.05,3.580246914
4/1/2000,JPN,JPY,Japan,294,106,2.773584906
4/1/2000,KOR,KRW,South Korea,3000,1108,2.707581227
4/1/2000,MEX,MXN,Mexico,20.9,9.41,2.221041445
4/1/2000,MYS,MYR,Malaysia,4.52,3.8,1.189473684
4/1/2000,NZL,NZD,New Zealand,3.4,2.01,1.691542289
4/1/2000,POL,PLN,Poland,5.5,4.3,1.279069767
4/1/2000,RUS,RUB,Russia,39.5,28.5,1.385964912
4/1/2000,SGP,SGD,Singapore,3.2,1.7,1.882352941
4/1/2000,SWE,SEK,Sweden,24,8.84,2.714932127
4/1/2000,THA,THB,Thailand,55,38,1.447368421
4/1/2000,TWN,TWD,Taiwan,70,30.6,2.287581699
4/1/2000,USA,USD,United States,2.51,1,2.51
4/1/2000,ZAF,ZAR,South Africa,9,6.72,1.339285714
4/1/2001,ARG,ARS,Argentina,2.5,1,2.5
4/1/2001,AUS,AUD,Australia,3,1.98,1.515151515
4/1/2001,BRA,BRL,Brazil,3.6,2.19,1.643835616
4/1/2001,CAN,CAD,Canada,3.33,1.56,2.134615385
4/1/2001,CHE,CHF,Switzerland,6.3,1.73,3.641618497
4/1/2001,CHL,CLP,Chile,1260,601,2.096505824
4/1/2001,CHN,CNY,China,9.9,8.28,1.195652174
4/1/2001,CZE,CZK,Czech Republic,56,39,1.435897436
4/1/2001,DNK,DKK,Denmark,24.75,8.46,2.925531915
4/1/2001,EUZ,EUR,Euro area,2.57,1.136363636,2.261600001
4/1/2001,GBR,GBP,Britain,1.99,0.699300699,2.845700001
4/1/2001,HKG,HKD,Hong Kong,10.7,7.8,1.371794872
4/1/2001,HUN,HUF,Hungary,399,303,1.316831683
4/1/2001,IDN,IDR,Indonesia,14700,10855,1.354214648
4/1/2001,JPN,JPY,Japan,294,124,2.370967742
4/1/2001,KOR,KRW,South Korea,3000,1325,2.264150943
4/1/2001,MEX,MXN,Mexico,21.9,9.29,2.35737352
4/1/2001,MYS,MYR,Malaysia,4.52,3.8,1.189473684
4/1/2001,NZL,NZD,New Zealand,3.6,2.47,1.457489879
4/1/2001,PHL,PHP,Philippines,59,50.3,1.172962227
4/1/2001,POL,PLN,Poland,5.9,4.03,1.464019851
4/1/2001,RUS,RUB,Russia,35,28.9,1.211072664
4/1/2001,SGP,SGD,Singapore,3.3,1.81,1.82320442
4/1/2001,SWE,SEK,Sweden,24,10.28,2.33463035
4/1/2001,THA,THB,Thailand,55,45.5,1.208791209
4/1/2001,TWN,TWD,Taiwan,70,32.9,2.127659574
4/1/2001,USA,USD,United States,2.54,1,2.54
4/1/2001,ZAF,ZAR,South Africa,9.7,8.13,1.193111931
4/1/2002,ARG,ARS,Argentina,2.5,3.13,0.798722045
4/1/2002,AUS,AUD,Australia,3,1.86,1.612903226
4/1/2002,BRA,BRL,Brazil,3.6,2.34,1.538461538
4/1/2002,CAN,CAD,Canada,3.33,1.57,2.121019108
4/1/2002,CHE,CHF,Switzerland,6.3,1.66,3.795180723
4/1/2002,CHL,CLP,Chile,1400,655,2.13740458
4/1/2002,CHN,CNY,China,10.5,8.28,1.268115942
4/1/2002,CZE,CZK,Czech Republic,56.28,34,1.655294118
